Main-Item,Number of Triples,Summary 1,Target
http://www.wikidata.org/entity/Q67975,2,كادمبينو هي بلدية في منطقة لوغانو في كانتون تيسينو في سويسرا.,"Cadempino estas komunumo de la komunumaro Vezia kaj la distrikto Lugano en Kantono Tiĉino, Svislando."
http://www.wikidata.org/entity/Q833545,2,هذا الحلو الرعد هو ألبوم ديوك إلينغتون، الذي صدر في عام 1957.,"Such Sweet Thunder, deciĉita al la ŝekspira festivalo je Stratford, Ontario – jen la kompleta titolo – estas ĵaza muzikalbumo de Duke Ellington, surbendigita dum kvin registradoj ekde la 7-a de aŭgusto 1956 ĝis la 3-a de majo 1957, publikigita ĉe Columbia Records en la jaro 1987."
http://www.wikidata.org/entity/Q317769,2,وكان غولزاريلال ناندا (4 تموز / يوليه 1898 - 15 كانون الثاني / يناير 1998) سياسي واقتصادي هندي متخصص في قضايا العمل.,Gulzarilal Nanda (4a Julio 1898 – 15a Januaro 1998) estis hindia kaj barata politikisto kaj ekonomikisto kiu specialiĝis en labortemoj.
http://www.wikidata.org/entity/Q962950,2,كان عون خام (1811 أو 1816 - 15 ديسمبر، 1895) ملك لوانغ برابانغ خلال 1872-1887 ومرة ​​ثانية بين 1889 و 1895.,Oun Ĥam (naskiĝis en 1811 aŭ 1816 - mortis la 15-an de decembro 1895) estis reĝo de Luangprabango dum 1872-1887 kaj duafoje inter 1889 kaj 1895.
http://www.wikidata.org/entity/Q626925,2,أرباتاكس ([أرباتاكس]) هي أكبر قرية (فرازيون) من Tortolì، سردينيا، في إيطاليا.,Arbatax (sarde Arbatassa) estas marborda frakcio de komunumo Tortolì.
http://www.wikidata.org/entity/Q1637472,2,روجين (سامي الجنوبية: روفجي) هي بحيرة تقع أساسا في هارجيدالين، السويد مع جزء صغير عبور الحدود النرويجية.,"Rogen estas lago lokigita ĉefe en Härjedalen, Svedio kun malgranda porcio krucanta la norvegian limon."
http://www.wikidata.org/entity/Q375056,2,جوان بوسكا i ألموغافر ([ʒuam بوسكا j əɫmuɣaβə]، بالإسبانية: خوان بوسكان ألموغافار) (ج.,"Juan Boscán Almogávar (en kataluna Joan Boscà i Almogàver, en Esperanto Johano Boskano) (Barcelono, 1492 - Perpinjano, 21-a de septembro de 1542), estis hispana poeto kaj tradukisto de la Renesanco."
http://www.wikidata.org/entity/Q696951,2,قلعة بالزغرافنشتاين (الألمانية: بورغ بالزغرافنستين) هي قلعة حصيلة في جزيرة فالكيناو، والمعروفة باسم جزيرة بفالز في نهر الراين بالقرب من كاوب، ألمانيا.,"La burgo Pfalzgrafenstein, ankaŭ nomata Pfalz bei Kaub, estis konstruita de Ludoviko la bavaro, de la palatingrafoj ce Rejno kaj de pli postaj romi-germanaj reĝoj kaj inperiestroj sur insuleto en la Rejno ĉe Kaub en la distrikto Rhein-Lahn de la germana federacia lando Rejnlando-Palatinato."
http://www.wikidata.org/entity/Q34354,2,كاسال دي سكودوسيا هو كومون (بلدية) في مقاطعة بادوا في المنطقة الإيطالية فينيتو، وتقع على بعد حوالي 70 كيلومترا (43 ميل) جنوب غرب البندقية وحوالي 40 كيلومترا (25 ميل) جنوب غرب بادوا.,Casale di Scodosia estas komunumo de Italio.
http://www.wikidata.org/entity/Q341629,2,Čremošné هي قرية وبلدية في منطقة تورسيانسك تيبليس في منطقة جيلينا شمال وسط سلوفاكيا.,Čremošné (hungare Turócmeggyes [turOcmedjeŝ]) estas tre malgranda vilaĝeto kaj municipo en Slovakio.
