Main-Item,Number of Triples,Summary 1,Target
http://www.wikidata.org/entity/Q760856,11,"<start> Péter ANDORAI [ <rare> ] , hungare <rare> <rare> estas hungara reĝisoro kaj scenaristo . Péter ANDORAI naskiĝis la 0 - an de aprilo <year> en Budapeŝto . <end>","<start> Péter ANDORAI , hungare Andorai Péter , Esperante Petro Andorai estas hungara aktoro . Péter Andorai naskiĝis la 0  - an de aprilo <year>  en Budapeŝto . <end>"
http://www.wikidata.org/entity/Q945626,8,"<start> Pulgar estas municipo de Hispanio , en la Provinco de Toledo , regiono de Kastilio-Manĉo . <end>","<start> Pulgar ( Polekso , sed vidu sube ĉe Toponimio ) estas municipo de Hispanio , en la Provinco de Toledo , regiono de Kastilio-Manĉo. <end>"
http://www.wikidata.org/entity/Q55097,13,<start> San Sossio Baronia estas komunumo de Italio . <end>,<start> San Sossio Baronia estas komunumo de Italio . <end>
http://www.wikidata.org/entity/Q310456,24,"<start> George Robert Gray ( n . la 0 - an de julio <year> , m . la 0 - an de januaro <year> ) estis angla <rare> kaj <rare> . <end>","<start> George Robert Gray , membro de la Reĝa Societo de Londono (8 a Julio <year>  – 6a Majo <year>  ) estis angla zoologo kaj aŭtoro , kaj estro de la ornitologia fako de la Brita Muzeo , nune la Muzeo pri Natura Historio , en Londono dum 0  jaroj . <end>"
http://www.wikidata.org/entity/Q382481,18,<start> Büdingen estas komunumo en Germanio . <end>,<start> Büdingen estas urba komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q178169,4,"<start> Presbiteriismo estas <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <rare> , <PAD> <PAD>",<start> Presbiteriismo estas kristana konfesia tradicio kiu devenas de la disvolviĝo de la instruoj de Johano Kalvino kaj liaj posteuloj ĉefe en Skotlando . <end>
http://www.wikidata.org/entity/Q755698,24,<start> Svitavy estas urbo en Ĉeĥio . <end>,<start> Svitavy ( germane Zwittau ) estas distrikta urbo en Ĉeĥio . <end>
http://www.wikidata.org/entity/Q1074425,12,"<start> Stacio Sakaisuji-Hommachi ( japane : <rare> [ <rare> ] , angle : <rare> Station ) estas fervoja stacio en \u0108uo-kvartalo (Osako) , Kioto , Japanio . <end>","<start> Stacio Sakaisuji-Hommachi ( japane : 堺筋本町駅 [ Sakajsuĵi-Hommaĉi-eki ] , angle : Sakaisuji-Hommachi Station ) estas fervoja stacio en Kvartalo Chūō , Osako , Japanio . <end>"
http://www.wikidata.org/entity/Q5359995,5,"<start> Stacio Yunoo ( japane : <rare> [ <rare> ] , angle : <rare> Station ) estas fervoja stacio en <rare> , Gubernio Ŝiga , Japanio . <end>","<start> Stacio Yunoo ( japane : 湯尾駅 [ Junoo-eki ] , angle : Yunoo Station ) estas fervoja stacio en Minamieĉizen , Gubernio Fukui , Japanio . <end>"
http://www.wikidata.org/entity/Q11629,7,"<start> pentrado estas vidigaj artoj , kiu <rare> <rare> . <end>","<start> Pentrado aŭ pentro-arto estas la arto de la aplikado de koloroj al surfaco kiel muroj , papero , kanvaso , ligno , vitro , lako , argilo , betono , folio , kupro aŭ alia medio . <end>"
