Main-Item,Summary 1,Target
http://www.wikidata.org/entity/Q760856,<start> estas franca komunumo lokita en la departemento Creuse kaj en la regiono Limoĝio. <end>,"<start> Péter ANDORAI , hungare Andorai Péter , Esperante Petro Andorai estas hungara aktoro . Péter Andorai naskiĝis la 0  - an de aprilo <year>  en Budapeŝto . <end>"
http://www.wikidata.org/entity/Q945626,<start> estas komunumo de Italio. <end>,"<start> Pulgar ( Polekso , sed vidu sube ĉe Toponimio ) estas municipo de Hispanio , en la Provinco de Toledo , regiono de Kastilio-Manĉo. <end>"
http://www.wikidata.org/entity/Q55097,<start> estas komunumo de Italio. <end>,<start> San Sossio Baronia estas komunumo de Italio . <end>
http://www.wikidata.org/entity/Q310456,<start> estas komunumo en Germanio. <end>,"<start> George Robert Gray , membro de la Reĝa Societo de Londono (8 a Julio <year>  – 6a Majo <year>  ) estis angla zoologo kaj aŭtoro , kaj estro de la ornitologia fako de la Brita Muzeo , nune la Muzeo pri Natura Historio , en Londono dum 0  jaroj . <end>"
http://www.wikidata.org/entity/Q382481,<start> estas komunumo de Italio. <end>,<start> Büdingen estas urba komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q178169,<start> estas komunumo en Germanio. <end>,<start> Presbiteriismo estas kristana konfesia tradicio kiu devenas de la disvolviĝo de la instruoj de Johano Kalvino kaj liaj posteuloj ĉefe en Skotlando . <end>
http://www.wikidata.org/entity/Q755698,<start> estas komunumo en Germanio. <end>,<start> Svitavy ( germane Zwittau ) estas distrikta urbo en Ĉeĥio . <end>
http://www.wikidata.org/entity/Q1074425,<start> estas komunumo de Italio. <end>,"<start> Stacio Sakaisuji-Hommachi ( japane : 堺筋本町駅 [ Sakajsuĵi-Hommaĉi-eki ] , angle : Sakaisuji-Hommachi Station ) estas fervoja stacio en Kvartalo Chūō , Osako , Japanio . <end>"
http://www.wikidata.org/entity/Q5359995,<start> estas komunumo de Italio. <end>,"<start> Stacio Yunoo ( japane : 湯尾駅 [ Junoo-eki ] , angle : Yunoo Station ) estas fervoja stacio en Minamieĉizen , Gubernio Fukui , Japanio . <end>"
http://www.wikidata.org/entity/Q11629,<start> estas komunumo de Italio. <end>,"<start> Pentrado aŭ pentro-arto estas la arto de la aplikado de koloroj al surfaco kiel muroj , papero , kanvaso , ligno , vitro , lako , argilo , betono , folio , kupro aŭ alia medio . <end>"
http://www.wikidata.org/entity/Q699525,<start> estas komunumo de Italio. <end>,"<start> Trackshittaz estas aŭstria hiphipa muzikgrupa duopo el la regiono Mühlviertel ( "" mueleja kvartalo "" ) de Supra Aŭstrio . <end>"
http://www.wikidata.org/entity/Q9418,<start> estas komunumo en Germanio. <end>,"<start> Psikologio , aŭ psiĥologio , estas la scienco kiu studas la homan konduton . <end>"
http://www.wikidata.org/entity/Q745169,<start> estas komunumo en Germanio. <end>,"<start> Pápakovácsi [ pApakovAĉi ] estas malgranda vilaĝo en Hungario , en regiono Meza Transdanubio , en Veszprém ( departemento ) , en subregiono de Pápa . <end>"
http://www.wikidata.org/entity/Q168333,<start> estas komunumo en Germanio. <end>,<start> Giesensdorf estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q912841,<start> estas komunumo de Italio. <end>,"<start> <year>  Aŭstrazio estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de marto <year>  de la germana astronomo Karl Wilhelm Reinmuth elde la Nacia Observatorio de Hejdelbergo - Königstuhl . Ĝi ŝuldas sian nomon al Aŭstrazio , franka reĝlando de la 0  - a al la 0  - a jarcento , dum la merovida epoko . <end>"
http://www.wikidata.org/entity/Q421678,<start> estas komunumo en Germanio. <end>,"<start> Malnovurba Placo ( ĉeĥe : Por aŭskulti bv alklaki ĉi ligon "" Staroměstské náměstí "" Staroměstské náměstí ) . <end>"
http://www.wikidata.org/entity/Q538963,<start> estas komunumo de Italio. <end>,<start> Bethenhausen estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q5364336,<start> estas komunumo de Italio. <end>,"<start> Stacio Shin-Asahi ( japane : 新旭駅 [ Ŝin-Asahi-eki ] , angle : Shin-Asahi Station ) estas fervoja stacio en Takaŝima , Gubernio Ŝiga , Japanio . <end>"
http://www.wikidata.org/entity/Q464505,<start> estas komunumo de Italio. <end>,"<start> Distrikto Taldom ( Taldomskij , русский Та ́ лдомский райо ́ н ) estas municipa distrikto de Moskva provinco ( Rusio ) . <end>"
http://www.wikidata.org/entity/Q257735,<start> estas komunumo de Italio. <end>,"<start> Szentlászló ( sentlAslo ) estas malgranda vilaĝo en Hungario en regiono Suda Hungario , en departemento Baranya , en subregiono de Szigetvár. <end>"
http://www.wikidata.org/entity/Q19369,<start> estas komunumo de Italio. <end>,"<start> En la jaro <year>  post Kristo okazis , interalie : <end>"
http://www.wikidata.org/entity/Q770787,<start> estas komunumo en Germanio. <end>,"<start> Giovanni Aurispa ( 1376-1459 ) ( n. en Noto , Sicilio , 20px Italio - m. en Ferrara , 20px Italio , en majo <year>  ) estis itala humanisto , poeto kaj historiisto . <end>"
http://www.wikidata.org/entity/Q73089,<start> estas komunumo en Germanio. <end>,<start> Gene KELLY ( plennome Eugene Curran KELLY ; n. <end>
http://www.wikidata.org/entity/Q133529,<start> estas komunumo en Germanio. <end>,"<start> vidu ankaŭ Vorkuta ( rivero ) Vorkuta ( ruse Воркута ) estas urbo en Rusio en nordo de Komiio , 0  km norde de la Arkta Cirklo , kies nomo devenas de la lingvo de nenecoj , kion oni povas traduki kiel multe da ursoj.Kodo de OKATO de la urbo ( en jaro <year>  ) estas 0  . <end>"
http://www.wikidata.org/entity/Q247637,<start> estas komunumo en Germanio. <end>,<start> Trongisvágur ( dane Trangisvåg ) estas vilaĝo sur insulo Suðuroy de Ferooj . <end>
http://www.wikidata.org/entity/Q1046859,<start> estas komunumo en Germanio. <end>,"<start> 0  Fehrenbach estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de oktobro <year>  en la kadro de la Indianaa Programo pri la Asteroidoj elde la Observatorio Goethe Link , apud Broklino ( Indianao , Usono ) . Ĝia nomo honoras la francan astronomon Charles Fehrenbach ( <year>  – <year>  ) . <end>"
http://www.wikidata.org/entity/Q205594,<start> La estas komunumo en Germanio. <end>,<start> Parkstetten estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q126826,<start> estas komunumo en Germanio. <end>,<start> Aerosmith estas usona rokmuzika bando devenata el Bostono . <end>
http://www.wikidata.org/entity/Q570275,<start> estas komunumo en Germanio. <end>,"<start> Eichen ( prononcu Ajĥn , germana signifo "" kverkoj "" ) estas komunumo en Germanio . <end>"
http://www.wikidata.org/entity/Q248025,<start> estas komunumo de Italio. <end>,"<start> La Nudkola tigrardeo , Centramerika tigrardeo , aŭ Meksika tigrardeo laŭ la latina scienca nomo Tigrisoma mexicanum , estas vadbirdo de la familio de ardeoj nome Ardeedoj . <end>"
http://www.wikidata.org/entity/Q37033,<start> estas komunumo en Germanio. <end>,"<start> Konsorcio de la Tut-Tera Teksaĵo ( angle : W3C , mallongigo por World Wide Web Consortium ) estas firmaaro fondita en <year>  . <end>"
http://www.wikidata.org/entity/Q33524,<start> estas komunumo en Germanio. <end>,"<start> En la jaro 0  post Kristo okazis , interalie : <end>"
http://www.wikidata.org/entity/Q566863,<start> estas komunumo en Germanio. <end>,"<start> Das Wachsfigurenkabinett ( esperante "" La vaksfigur-kabineto "" ) estas fantazia kaj horora muta filmo aperinta en <year>  kaj reĝisorita de Paul Leni . <end>"
http://www.wikidata.org/entity/Q671341,<start> estas komunumo en Germanio. <end>,"<start> Betanzos estas urbo kaj municipo de la provinco Korunjo ( Galegio , Hispanio ) , ĉefurbo de la samnoma regiono . <end>"
http://www.wikidata.org/entity/Q312613,<start> estas komunumo en Germanio. <end>,<start> Rikardo la 0  - a kromnomita la bonulo ( france : le Bon ) ( naskiĝis la 0  - an de aŭgusto 0  ; mortis en <year>  en Fécamp ) estis dua duko de Normandio.Li estis filo de Rikardo la 0  - a kaj de ties edzino Gunnor . <end>
http://www.wikidata.org/entity/Q157645,<start> estas komunumo de Italio. <end>,<start> La akcia kompanio Deutsche Post AG kun sidejo en Bonno estas la tutmonde plej granda entrepreno pri poŝto kaj loĝistiko . <end>
http://www.wikidata.org/entity/Q123902,<start> estas komunumo en Germanio. <end>,"<start> Ruth Dreifuss naskiĝis la 0  - an de januaro <year>  en Sankt-Galo , Svislando . <end>"
http://www.wikidata.org/entity/Q1615444,<start> estas komunumo en Germanio. <end>,"<start> Abaeté estas municipo de la brazila subŝtato Minas-Ĝerajso , kiu taksis 0  enloĝantojn en <year>  . La municipo emancipiĝis en <year>  . <end>"
http://www.wikidata.org/entity/Q158957,<start> estas komunumo en Germanio. <end>,"<start> Prijanka Ĉopra ( hindie : प ् र ि य ं क ा च ो पड ़ ा , Priyankā Coprā , angle Priyanka Chopra naskiĝis la 0  - an de julio <year>  en Jamŝedpur , Ĝharkhando ) estas barata aktorino en Bollywood . <end>"
http://www.wikidata.org/entity/Q127471,<start> estas komunumo en Germanio. <end>,"<start> Ashley Michelle TISDALE ( Monmouth County , la 0  - an de julio <year>  – ) estas usona aktorino kaj kantistino . <end>"
http://www.wikidata.org/entity/Q1977093,<start> estas komunumo de Italio. <end>,"<start> Vilaĝo Budislav situas en Ĉeĥio , regiono Pardubice , distrikto Svitavy , ĉe la ŝoseo n-ro 0  inter Litomyšl kaj Proseč , 0  km oriente de Proseč kaj 0  km okcidente de Dolní Újezd . <end>"
http://www.wikidata.org/entity/Q856571,<start> estas komunumo en Germanio. <end>,"<start> Stacio Noe ( japane : 野江駅 [ Noe-eki ] , angle : Noe Station ) estas fervoja stacio en Kvartalo Ĝoto , Osako , Japanio . <end>"
http://www.wikidata.org/entity/Q171730,<start> estas komunumo de Italio. <end>,"<start> Georges Benjamin Clemenceau ( 0  - a de septembro <year>  ĉe Mouilleron-en-Pareds , Vendeo - 0  - a de novembro <year>  en Parizo ) estis franca ĵurnalisto kaj politikisto . <end>"
http://www.wikidata.org/entity/Q504311,<start> estas komunumo en Germanio. <end>,<start> Heigenbrücken estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q734468,<start> estas komunumo en Germanio. <end>,"<start> <year>  Kuznetsov estas malbone konata asteroido de la asteroida zono , malkovrita la 0  - an de decembro <year>  de la ukraina astronomino Ljudmila Vasilievna Ĵuravljova elde la Krimea astrofizika observatorio de Nauĉno en Ukrainio . Ĝia nomo honoras Nikolaj Ivanoviĉ Kuznecov ( cirile Николай Иванович Кузнецов ) , batalinton de la dua mondmilito kaj heroon de Sovetunio . <end>"
http://www.wikidata.org/entity/Q1929327,<start> La estas komunumo en Germanio. <end>,"<start> Itabi estas municipo en la brazila subŝtato Serĝipo , kiu havis 0  loĝantojn en <year>  . <end>"
http://www.wikidata.org/entity/Q1413,<start> La estas komunumo de Italio. <end>,"<start> Nerono , latine : Nero Claudius Caesar Drusus Germanicus Caesar , naskiĝis 0  - an de decembro 0  , mortis 0  - an de junio 0  , naska nomo Lucius Domitius Ahenobarbus , estis romia imperiestro ekde 0  ĝis 0  . <end>"
http://www.wikidata.org/entity/Q1092698,<start> estas komunumo de Italio. <end>,"<start> Cassiano RICARDO ( naskiĝis la 0  - an de julio <year>  en San-Jozefo de la Kampoj ; mortis la 0  - an de januaro <year>  ) estis brazila ĵurnalisto , kritikisto kaj poeto . <end>"
http://www.wikidata.org/entity/Q222390,<start> estas komunumo en Germanio. <end>,"<start> David GARRICK ( naskiĝis la 0  - an de februaro , <year>  , mortis la 0  - an de januaro , <year>  ) estis angla aktoro kaj dramisto . <end>"
http://www.wikidata.org/entity/Q3889582,<start> estas komunumo en Germanio. <end>,<start> Santiago Apóstol estas unu el la 0  komunumoj de la meksika subŝtato Oaĥako ( Oaxaca ) . <end>
http://www.wikidata.org/entity/Q39524,<start> estas komunumo de Italio. <end>,"<start> Gamal Abdel NASER ( dialekte egipta , arabe جمال عبد الناصر , aŭ Ĝamal , naskiĝis en <year>  , mortis en <year>  ) inter la jaroj <year>  kaj <year>  estis la ŝtata prezidanto de Egiptio . <end>"
http://www.wikidata.org/entity/Q1085,<start> La estas komunumo de Italio. <end>,<start> Prago ( ĉeĥe Praha ) estas la ĉefurbo kaj la plej granda urbo de Ĉeĥio . <end>
http://www.wikidata.org/entity/Q1631944,<start> estas komunumo de Italio. <end>,"<start> Alamedilla estas vilaĝo kaj municipo de la Aŭtonoma Komunumo Andaluzio , en la provinco Granada , sude de Hispanio . <end>"
http://www.wikidata.org/entity/Q694616,<start> estas komunumo de Italio. <end>,<start> Steinhorst estas komunumo en Germanio . <end>
http://www.wikidata.org/entity/Q207726,<start> estas komunumo en Germanio. <end>,"<start> En geometrio , kardioido estas kurbo , epicikloido kun unu kuspo . <end>"
http://www.wikidata.org/entity/Q1038072,<start> estas komunumo en Germanio. <end>,"<start> Stacio Nishinomiya ( japane : 西宮駅 [ Niŝinomija-eki ] , angle : Nishinomiya Station ) estas fervoja stacio en Nishinomiya , Gubernio Hjogo , Japanio . <end>"
